qid,retriever,strategy,rewritten_query,gold_doc_id,retrieved_doc_ids,gold_rank,recall@1,recall@5,recall@10,mrr,reward,retrieval_success,rank_gain,length_penalty,semantic_drift_penalty,semantic_similarity
6548850-0-0,bm25,original,임종석이 여의도 농민 폭력 시위를 주도한 혐의로 지명수배 된 날은?,KQ_0000_0000,KQ_0000_0000 KQ_0058_0008 KQ_0058_0009 KQ_0064_0001 KQ_0034_0007 KQ_0017_0010 KQ_0124_0063 KQ_0130_0010 KQ_0054_0035 KQ_0058_0011,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548850-0-0,dense,original,임종석이 여의도 농민 폭력 시위를 주도한 혐의로 지명수배 된 날은?,KQ_0000_0000,KQ_0000_0000 KQ_0016_0000 KQ_0125_0034 KQ_0087_0001 KQ_0087_0002 KQ_0072_0024 KQ_0125_0024 KQ_0054_0028 KQ_0087_0003 KQ_0125_0009,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548850-0-0,hybrid,original,임종석이 여의도 농민 폭력 시위를 주도한 혐의로 지명수배 된 날은?,KQ_0000_0000,KQ_0000_0000 KQ_0034_0007 KQ_0064_0001 KQ_0058_0008 KQ_0058_0009 KQ_0054_0035 KQ_0072_0024 KQ_0087_0003 KQ_0130_0007 KQ_0124_0063,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548850-0-0,bm25,keyword,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배 날은,KQ_0000_0000,KQ_0000_0000 KQ_0058_0008 KQ_0058_0004 KQ_0130_0010 KQ_0125_0015 KQ_0034_0007 KQ_0130_0007 KQ_0084_0027 KQ_0120_0002 KQ_0058_0009,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9633246660232544
6548850-0-0,dense,keyword,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배 날은,KQ_0000_0000,KQ_0000_0000 KQ_0016_0000 KQ_0104_0000 KQ_0072_0024 KQ_0025_0016 KQ_0087_0001 KQ_0125_0015 KQ_0025_0021 KQ_0054_0028 KQ_0087_0002,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9633246660232544
6548850-0-0,hybrid,keyword,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배 날은,KQ_0000_0000,KQ_0000_0000 KQ_0058_0008 KQ_0125_0015 KQ_0034_0007 KQ_0058_0004 KQ_0058_0009 KQ_0130_0007 KQ_0130_0010 KQ_0058_0013 KQ_0124_0025,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9633246660232544
6548850-0-0,bm25,expanded,임종석이 여의도 농민 폭력 시위를 주도한 혐의로 지명수배 된 날은?,KQ_0000_0000,KQ_0000_0000 KQ_0058_0008 KQ_0058_0009 KQ_0064_0001 KQ_0034_0007 KQ_0017_0010 KQ_0124_0063 KQ_0130_0010 KQ_0054_0035 KQ_0058_0011,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548850-0-0,dense,expanded,임종석이 여의도 농민 폭력 시위를 주도한 혐의로 지명수배 된 날은?,KQ_0000_0000,KQ_0000_0000 KQ_0016_0000 KQ_0125_0034 KQ_0087_0001 KQ_0087_0002 KQ_0072_0024 KQ_0125_0024 KQ_0054_0028 KQ_0087_0003 KQ_0125_0009,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548850-0-0,hybrid,expanded,임종석이 여의도 농민 폭력 시위를 주도한 혐의로 지명수배 된 날은?,KQ_0000_0000,KQ_0000_0000 KQ_0034_0007 KQ_0064_0001 KQ_0058_0008 KQ_0058_0009 KQ_0054_0035 KQ_0072_0024 KQ_0087_0003 KQ_0130_0007 KQ_0124_0063,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6548850-0-0,bm25,prompt,임종석 여의 농민 폭력 시위 주도한 혐의 지명수배,KQ_0000_0000,KQ_0000_0000 KQ_0058_0004 KQ_0130_0010 KQ_0125_0015 KQ_0034_0007 KQ_0130_0007 KQ_0084_0027 KQ_0058_0008 KQ_0120_0002 KQ_0058_0009,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9427420496940613
