retriever,hybrid_alpha,bm25_weight,dense_weight,num_questions,recall@1,recall@5,recall@10,mrr
hybrid,0.0,0.0,1.0,30,0.9,1.0,1.0,0.9444444444444445
hybrid,0.1,0.1,0.9,30,0.9333333333333333,1.0,1.0,0.9666666666666667
hybrid,0.2,0.2,0.8,30,0.9666666666666667,1.0,1.0,0.9833333333333333
hybrid,0.3,0.3,0.7,30,0.9333333333333333,1.0,1.0,0.961111111111111
hybrid,0.4,0.4,0.6,30,0.9333333333333333,1.0,1.0,0.9566666666666667
hybrid,0.5,0.5,0.5,30,0.9,0.9666666666666667,1.0,0.9366666666666668
hybrid,0.6,0.6,0.4,30,0.8666666666666667,0.9666666666666667,0.9666666666666667,0.9166666666666666
hybrid,0.7,0.7,0.30000000000000004,30,0.8333333333333334,0.9666666666666667,0.9666666666666667,0.9
hybrid,0.8,0.8,0.19999999999999996,30,0.7666666666666667,0.9666666666666667,0.9666666666666667,0.8666666666666667
hybrid,0.9,0.9,0.09999999999999998,30,0.7666666666666667,0.9666666666666667,0.9666666666666667,0.8666666666666667
hybrid,1.0,1.0,0.0,30,0.7666666666666667,0.9666666666666667,0.9666666666666667,0.8316666666666666
