qid,retriever,policy_name,selected_strategy,original_rank,original_success,reward,recall@1,recall@5,recall@10,mrr
6521755-2-1,bm25,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-2-1,bm25,always_keyword,keyword,1,True,0.9444444444444444,0.0,1.0,1.0,0.5
6521755-2-1,bm25,always_expanded,expanded,1,True,0.9555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,bm25,always_prompt,prompt,1,True,0.9444444444444444,0.0,1.0,1.0,0.5
6521755-2-1,bm25,always_structured,structured,1,True,0.9388888888888889,0.0,1.0,1.0,0.5
6521755-2-1,bm25,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-2-1,bm25,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-2-1,bm25,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-2-1,dense,original_only,original,2,True,1.0,0.0,1.0,1.0,0.5
6521755-2-1,dense,always_keyword,keyword,2,True,1.0555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,dense,always_expanded,expanded,2,True,0.9555555555555556,0.0,1.0,1.0,0.5
6521755-2-1,dense,always_prompt,prompt,2,True,1.0555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,dense,always_structured,structured,2,True,1.05,1.0,1.0,1.0,1.0
6521755-2-1,dense,epsilon_greedy_bandit,original,2,True,1.0,0.0,1.0,1.0,0.5
6521755-2-1,dense,contextual_bandit,keyword,2,True,1.0555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,dense,oracle_best_strategy,keyword,2,True,1.0555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,hybrid,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-2-1,hybrid,always_keyword,keyword,1,True,0.9444444444444444,0.0,1.0,1.0,0.5
6521755-2-1,hybrid,always_expanded,expanded,1,True,0.9555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,hybrid,always_prompt,prompt,1,True,0.9444444444444444,0.0,1.0,1.0,0.5
6521755-2-1,hybrid,always_structured,structured,1,True,0.9388888888888889,0.0,1.0,1.0,0.5
6521755-2-1,hybrid,epsilon_greedy_bandit,expanded,1,True,0.9555555555555556,1.0,1.0,1.0,1.0
6521755-2-1,hybrid,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6521755-2-1,hybrid,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,bm25,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,bm25,always_keyword,keyword,1,True,-0.5,0.0,0.0,0.0,0.0
6548853-0-2,bm25,always_expanded,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,bm25,always_prompt,prompt,1,True,-0.5,0.0,0.0,0.0,0.0
6548853-0-2,bm25,always_structured,structured,1,True,-0.5,0.0,0.0,0.0,0.0
6548853-0-2,bm25,epsilon_greedy_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,bm25,contextual_bandit,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,bm25,oracle_best_strategy,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,dense,original_only,original,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,dense,always_keyword,keyword,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,dense,always_expanded,expanded,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,dense,always_prompt,prompt,1,True,1.0,1.0,1.0,1.0,1.0
6548853-0-2,dense,always_structured,structured,1,True,1.0,1.0,1.0,1.0,1.0
